777 Surge™,777 电光火石,SMG_777Surge,slot
High Society,上流社会,SMG_highSociety,slot
Hippie Days,嬉皮时光,SMG_hippieDays,slot
Holly Jolly Penguins,圣诞企鹅,SMG_hollyJollyPenguins,slot
Hollywood Baccarat,好莱坞百家乐,SMG_titaniumLiveGames_Hollywood_Baccarat,casino
Hound Hotel,酷犬酒店,SMG_HoundHotel,slot
Huangdi - The Yellow Emperor,轩辕帝传,SMG_huangdiTheYellowEmperor,slot
Hyper Gold™,超猎黄金,SMG_hyperGold,slot
Hyper Strike™,究极闪电,SMG_hyperStrike,slot
Immortal Romance,不朽情缘,SMG_immortalRomance,slot
Immortal Romance Mega Moolah,不朽情缘 Mega Moolah,SMG_immortalRomanceMegaMoolah,slot
Immortal Romance V90,不朽情缘 V90,SMG_ImmortalRomancev90,slot
Incan Adventure,挖到宝,SMG_incanAdventure,slot
Incredible Balloon Machine,不可思议的气球机,SMG_theIncredibleBalloonMachine,slot
Ingots of Cai Shen,财神 元宝,SMG_ingotsOfCaiShen,slot
Isis,伊希斯,SMG_isis,slot
Joyful Joker Megaways,欢乐小丑 Megaways,SMG_joyfulJoker,slot
Juicy Joker Mega Moolah,多汁水果小丑Mega Moolah,SMG_juicyJokerMegaMoolah,slot
Jungle Jim - El Dorado,丛林吉姆-黄金国,SMG_jungleJimElDorado,slot
Jungle Jim and the Lost Sphinx ,丛林吉姆失落的狮身人面像,SMG_jungleJimAndTheLostSphinx,slot
Jurassic World,侏罗纪世界,SMG_jurassicWorld,slot
Jurassic World: Raptor Riches,Jurassic World 迅猛龙送财,SMG_jurassicWorldRaptorRiches,slot
Karaoke Party,K歌乐韵,SMG_karaokeParty,slot
Kathmandu,加德满都,SMG_kathmandu,slot
King Tusk,大象之王,SMG_kingTusk,slot
Kings of Cash,现金之王,SMG_kingsOfCash,slot
Kitty Cabana,凯蒂卡巴拉,SMG_KittyCabana,slot
Ladies Nite,淑女派对,SMG_ladiesNite,slot
Ladies Nite 2 Turn Wild,淑女之夜2 狂野变身,SMG_ladiesNite2TurnWild,slot
Ladies Nite V90,淑女派对 V90,SMG_LadiesNiteV90,slot
Lady in Red,红衣女郎,SMG_ladyInRed,slot
Lara Croft - Temples and Tombs,萝拉卡芙特之神庙古墓,SMG_laraCroftTemplesAndTombs,slot
Legacy of Oz,奥兹Oz传奇,SMG_legacyOfOz,slot
Legend of the Moon Lovers,奔月传说,SMG_LegendOftheMoonLovers,slot
Life of Riches,富裕人生,SMG_lifeOfRiches,slot
Lion's Pride,雄狮昂扬,SMG_lionsPride,slot
Liquid Gold,液态黄金,SMG_liquidGold,slot
Loaded,腰缠万贯,SMG_loaded,slot
Long Mu Fortunes,龙母财富,SMG_longMuFortunes,slot
Lost Vegas,迷失拉斯维加斯,SMG_lostVegas,slot
Lucha Legends,摔角传奇,SMG_luchaLegends,slot
Lucky Bachelors,幸运单身族,SMG_luckyBachelors,slot
Lucky Firecracker,招财鞭炮,SMG_luckyfirecracker,slot
Lucky Koi,幸运锦鲤,SMG_luckyKoi,slot
Lucky Leprechaun,幸运矮妖精,SMG_luckyLeprechaun,slot
Lucky Little Gods,宝贝财神,SMG_luckyLittleGods,slot
Lucky Riches Hyperspins,幸运富豪 Hyperspins,SMG_luckyRichesHyperspins,slot
Lucky Twins,幸运双星,SMG_luckyTwins,slot
Lucky Twins Catcher,幸运双星接财神,SMG_luckyTwinsCatcher,slot
Lucky Twins Jackpot,幸运双星大奖,SMG_luckyTwinsJackpot,slot
Lucky Twins Wilds,幸运双星百搭,SMG_luckyTwinsWilds,slot
Lucky Zodiac,幸运生肖,SMG_luckyZodiac,slot
Mad Hatters,疯狂帽匠,SMG_madHatters,slot
Magic of Sahara,魔力撒哈拉,SMG_magicOfSahara,slot
Major Millions 5 Reel,百万少校累积奖金,SMG_MajorMillions5Reel,slot
Maui Mischief™,毛伊大乱斗,SMG_mauiMischief,slot
Max Damage and the Alien Attack,终结侵略者,SMG_maxDamageArcade,slot
Mayan Princess,玛雅公主,SMG_mayanPrincess,slot
Mega Money Multiplier,巨额现金乘数,SMG_megaMoneyMultiplier,slot
Mega Money Rush,巨款大冲击,SMG_megaMoneyRush,slot
Mega Moolah,百万钞票,SMG_MegaMoolah,slot
Mega Moolah Goddess,MEGA MOOLAH 女神,SMG_megaMoolahGoddess,slot
Mega Moolah The Witch's Moon,Mega Moolah 女巫之月,SMG_megaMoolahTheWitchsMoon,slot
Mermaids Millions,百万人鱼,SMG_mermaidsMillions,slot
Moby Dick,大白鲸,SMG_mobyDickOnlineSlot,slot
Monster Blast,怪物爆炸,SMG_monsterBlast,slot
Monster Wheels,怪物赛车,SMG_monsterWheels,slot
MP Baccarat,百家乐,SMG_titaniumLiveGames_MP_Baccarat,casino
Munchkins,小小矮人,SMG_munchkins,slot
Mystic Dreams,神秘的梦,SMG_mysticDreams,slot
Neptune's Riches: Ocean of Wilds,海王星宝藏狂野之海,SMG_neptunesRichesOceanOfWilds,slot
Noble Sky,宏伟苍穹,SMG_nobleSky,slot
Odin’s Riches,奥丁的财宝,SMG_odinsRiches,slot
Oink Country Love,呼噜噜爱上乡下,SMG_oinkCountryLove,slot
Oni Hunter,鬼狩,SMG_oniHunter,slot
Oni Hunter Plus,鬼狩加強版,SMG_oniHunterPlus,slot
Our Days,有你的校园,SMG_ourDaysA,slot
Party Island,派对岛屿,SMG_partyIsland,slot
Peek-a-Boo - 5 Reel,躲猫猫,SMG_peekABoo5Reel,slot
Pets Go Wild,狂野宠物,SMG_petsGoWild,slot
Ping Pong Star,乒乓巨星,SMG_pingPongStar,slot
Pistoleras,持枪王者,SMG_pistoleras,slot
Playboy,花花公子,SMG_playboy,slot
Playboy Fortunes ™,PLAYBOY® 财富™,SMG_playboyFortunes,slot
Playboy Gold,Playboy黄金,SMG_playboyGold,slot
Playboy™ Gold Jackpots,Playboy黄金大奖,SMG_playboyGoldJackpots,slot
Poke The Guy,进击猿人,SMG_pokeTheGuy,slot
Pollen Party,花粉之国,SMG_pollenParty,slot
Pretty Kitty,漂亮猫咪,SMG_prettyKitty,slot
Pure Platinum,完美白金,SMG_purePlatinum,slot
Queen of Alexandria™,亚历山大女王,SMG_queenofAlexandria,slot
Queen Of Alexandria™ WOWPOT!™,亚历山大女王：WOWPOT!™,SMG_queenOfAlexandriaWowpot,slot
Queen of Crystal Rays™,水晶射线女王,SMG_queenOfTheCrystalRays,slot
Rabbit in the Hat,帽中的兔子,SMG_rabbitinthehat,slot
Reel Gems,宝石转轴,SMG_reelGems,slot
Reel Gems Deluxe,宝石转轴豪华版,SMG_reelGemsDeluxe,slot
Reel Spinner,旋转大战,SMG_reelSpinner,slot
Reel Strike,海洋争夺,SMG_reelStrike,slot
Reel Strike  ,海洋争夺,SMG_reelStrike,slot
Reel Talent ,真正高手,SMG_ReelTalent,slot
Reel Thunder,转轴雷电,SMG_reelThunder,slot
Relic Seekers,探陵人,SMG_relicSeekers,slot
Retro Reels,经典老虎机,SMG_retroReels,slot
Retro Reels - Diamond Glitz,复古转轴之炫目钻石,SMG_retroReelsDiamondGlitz,slot
Retro Reels - Extreme Heat,酷热经典,SMG_retroReelsExtremeHeat,slot
Rhyming Reels - Georgie Porgie,乔治与柏志,SMG_rhymingReelsGeorgiePorgie,slot
Rhyming Reels - Hearts & Tarts,童话转轴 红心皇后,SMG_rhymingReelsHeartsAndTarts,slot
Riviera Riches,瑞维拉财宝,SMG_rivieraRiches,slot
Romanov Riches,罗曼诺夫财富,SMG_romanovRiches,slot
Roulette,轮盘,SMG_titaniumLiveGames_Roulette,casino
Rugby Star,橄榄球明星,SMG_rugbyStar,slot
Rugby Star Deluxe,橄榄球明星豪华版,SMG_rugbyStarDeluxe,slot
Santa Paws,圣诞狗狗,SMG_santaPaws,slot
Santa's Wild Ride,圣诞老人的百搭摩托车,SMG_santasWildRide,slot
Scrooge,小气财神,SMG_scrooge,slot
Secret Admirer,暗恋,SMG_secretAdmirer,slot
Secret Romance,秘密爱慕者,SMG_secretRomance,slot
Serengeti Gold,塞伦盖蒂黄金,SMG_serengetiGold,slot
Shamrock Holmes Megaways™,三叶草福尔摩斯 Megaways™,SMG_shamrockHolmes,slot
Shanghai Beauty,上海美女,SMG_shanghaiBeauty,slot
Sherlock & Moriarty WOWPOT!,夏洛克与莫里亚蒂WOWPOT!,SMG_sherlockandMoriarty,slot
Sherlock of London™,伦敦的夏洛克,SMG_sherlockOfLondonOnlineSlot,slot
Shogun of Time,时界门之将军,SMG_shogunofTime,slot
Showdown Saloon,对决沙龙,SMG_showdownSaloon,slot
Sicbo Live,骰宝,SMG_titaniumLiveGames_Sicbo,casino
Silver Fang,银狼,SMG_silverFang,slot
Silver Lioness4x,银色雌狮4x,SMG_silverLioness4x,slot
Silver Seas,银色之海,SMG_silverSeas,slot
Silverback: Multiplier Mountain,银背乘数山,SMG_silverbackMultiplierMountain,slot
Sisters of Oz: Jackpots,Oz姐妹累积奖金,SMG_sistersofOzJackpots,slot
Sisters of Oz™ WowPot! ™,Oz姐妹™ WowPot!™,SMG_sistersOfOzWowPot,slot
Six Acrobats,杂技群英会,SMG_sixAcrobats,slot
So Many Monsters,多多怪兽,SMG_soManyMonsters,slot
So Much Candy,多多糖果,SMG_soMuchCandy,slot
So Much Sushi,多多寿司,SMG_soMuchSushi,slot
Soccer Striker,足球前锋,SMG_soccerStriker,slot
Solar Wilds,太阳系百搭符号,SMG_solarWilds,slot
Spring Break,放浪假日,SMG_springBreak,slot
StarDust,星尘,SMG_stardust,slot
Starlight Kiss,星光之吻,SMG_starlightKiss,slot
Stash of the Titans,泰坦帝国,SMG_stashOfTheTitans,slot
Sterling Silver,纯银,SMG_sterlingSilver,slot
Sugar Parade,糖果巡游,SMG_sugarParade,slot
Summer Holiday,暑假,SMG_summerHoliday,slot
Summertime,暑假时光,SMG_summertime,slot
SunQuest,追寻太阳,SMG_sunQuest,slot
SunTide,太阳征程,SMG_sunTide,slot
Supe It Up,增强马力,SMG_supeItUp,slot
Sure Win,必胜,SMG_sureWin,slot
Tally Ho,狩猎游戏,SMG_tallyHo,slot
Tarzan,泰山传奇,SMG_tarzan,slot
Tarzan and the Jewels of Opar,Tarzan® 和欧巴珠宝,SMG_tarzanAndtheJewelsofOpar,slot
Tasty Street,妹妹很饿,SMG_tastyStreet,slot
The Finer Reels of Life,至尊人生,SMG_theFinerReelsOfLife,slot
The Grand Journey,探险之旅,SMG_theGrandJourney,slot
The Great Albini,伟大魔术师,SMG_theGreatAlbini,slot
The Heat Is On,极速抢钱,SMG_theHeatIsOn,slot
The Phantom of the Opera™,歌剧魅影,SMG_thePhantomOfTheOpera,slot
The Rat Pack,鼠帮,SMG_theRatPack,slot
The Twisted Circus,奇妙马戏团,SMG_theTwistedCircus,slot
Thunderstruck,雷霆万钧,SMG_thunderstruck,slot
Thunderstruck II,雷霆万钧2,SMG_thunderstruck2,slot
Thunderstruck Wild Lightning,雷霆万钧之百搭闪电,SMG_thunderstruckWildLightning,slot
Tiger's Eye,虎眼,SMG_tigersEye,slot
Tiki Reward,提基奖励,SMG_tikiReward,slot
Tiki Vikings,蒂基维京,SMG_tikiVikings,slot
Titans of the Sun - Hyperion,太阳神许珀里翁,SMG_titansOfTheSunHyperion,slot
Titans of the Sun - Theia,太阳神忒伊亚,SMG_titansOfTheSunTheia,slot
Tomb Raider,古墓奇兵,SMG_tombRaider,slot
Tomb Raider Secret of the Sword,古墓丽影 剑的秘密,SMG_RubyTombRaiderII,slot
Treasure Dash,逃宝街机游戏,SMG_treasureDash,slot
Treasure Nile,尼罗河宝藏,SMG_treasureNile,slot
Treasure Palace,宝藏宫殿,SMG_treasurePalace,slot
Treasures of Lion City,海底宝城,SMG_treasuresOfLionCity,slot
Untamed - Giant Panda,野生大熊猫,SMG_untamedGiantPanda,slot
Village People® Macho Moves,型男舞步,SMG_villagePeople,slot
Vinyl Countdown,黑胶热舞,SMG_vinylCountdown,slot
Voila,哈啰巴黎,SMG_voila,slot
Wacky Panda,囧囧熊猫,SMG_wackyPanda,slot
Wanted Outlaws,歹徒通缉令,SMG_wantedOutlaws,slot
WD FuWa Fishing,万达福娃捕鱼,SFG_WDFuWaFishing,Fishing
WD Gold Blast Fishing,万达爆金捕鱼,SFG_WDGoldBlastFishing,Fishing
Western Gold,西域黄金,SMG_westernGold,slot
What A Hoot,滑稽猫头鹰,SMG_whatAHoot,slot
Wheel of Wishes,愿望转盘,SMG_wheelofWishes,slot
Wicked Tales: Dark Red,黑暗故事神秘深红,SMG_wickedTalesDarkRed,slot
Wild Catch (New),荒野垂钓,SMG_wildCatchNew,slot
Wild Orient,东方珍兽,SMG_wildOrient,slot
Wild Scarabs,百搭圣甲虫,SMG_wildScarabs,slot
Win Sum Dim Sum,开心点心,SMG_winSumDimSum,slot
WP 28 Mahjong,王牌二八杠,SFG_WP28Mahjong,Poker
WP 5PK,王牌五张,SFG_WP5PK,Poker
WP Banker Niu Niu,王牌抢庄牛牛,SFG_WPBankerNiuNiu,Poker
WP Banker Niu Niu (3 Open cards),王牌抢庄牛牛(看3张),SFG_WPBankerNiuNiu_3cards,Poker
WP Banker Niu Niu (4 Open cards),王牌抢庄牛牛(看4张),SFG_WPBankerNiuNiu_4cards,Poker
WP Bonus Texas,王牌奖金德州,SFG_WPBonusTexas,Poker
WP CaiShen Fruit Mario (Arcade Edition),王牌财神水果机 (街机版),SFG_WPCaiShenFruitMario,Poker
WP Chuhan Texas,王牌楚汉德州,SFG_WPChuhanTexas,Poker
WP Doudizhu,王牌斗地主,SFG_Doudizhu,Poker
WP Forest Party (JP),王牌森林舞会(JP),SFG_WPForestPartyJP,Poker
WP Golden Flower,王牌炸金花,SFG_GoldenFlower,Poker
WP Golden Pig Race,王牌赛金猪,SFG_WPGoldenPigRace,Poker
WP Golden Shark,王牌金银鲨,SFG_WPGoldenShark,Poker
WP Instant Golden Flower,王牌炸金花 (极速版),SFG_WPInstantGoldenFlower,Poker
WP Mahjong (2P Arcade),王牌麻将(二人街机版),SFG_WPMahjong_2P,Poker
WP Niu Niu 100+ Players,王牌百人牛牛,SFG_WP100NiuNiu,Poker
WP Tavern,王牌客栈,SFG_WPTavern,Poker
Zombie Hoard,丧尸来袭,SMG_zombieHoard,slot
Auto Roulette ,全自动轮盘,SMG_titaniumLiveGamesAutoRoulette,casino
VIP Baccarat ,VIP百家乐,SMG_titaniumLiveGames_Baccarat_VIP,casino
